GeneName,0a,0b,2a,2b,8a,8b,16a,16b
Atrx,37074.83893,36928.72623,37468.35159,35992.24886,31174.43675,32609.52295,27738.05249,27939.85043
Bcl9,18762.13877,18787.62946,17114.22346,16810.87246,17773.35485,17583.18946,17214.11921,16734.042
Bcl9l,20361.72846,21582.48217,28312.00683,26154.32083,22283.97463,22395.24271,16594.31108,16458.49063
Bin2,7069.83418,6729.20962,18746.8809,19050.6621,11546.9442,11252.0923,7176.39147,7584.52181
Caap1,9873.476308,10241.19608,12566.30431,12277.57515,8451.048846,8759.017846,7394.570762,7092.361215
Cbx3,133203.8199,127178.4647,188335.2183,165312.3476,113267.6154,115238.2672,75088.49276,82479.75176
Cbx5,53055.65557,56102.89764,69323.76029,62472.52343,40022.54671,39108.14193,29729.36629,31179.73138
Ccdc132,26639.17638,26637.95225,38826.10238,36250.36963,48221.66213,44615.77988,36269.20846,36210.37445
Ccdc88c,15263.325,15118.05333,27831.78367,30066.673,23799.50733,22860.31933,21359.7691,22122.23053
Cemip,13702.93,12751.82,47579.88,46091.07,29238.463,27428.32,13825.1876,12634.4587
Cep152,7293.680429,7218.619286,13370.39071,11644.12629,10272.77086,9381.072571,6424.724043,6833.503529
Chd1,8521.9995,8143.762333,9242.193917,9670.700833,12204.47467,11668.71,13438.79443,12757.13788
Chkb,9312.701,7588.697,27016.64,23572.85,12887.001,12369.73,6128.1626,7349.4202
Cpsf1,63986.042,65896.9235,106013.895,97188.9235,49716.489,44720.105,25284.04515,25909.77805
Daxx,49190.40222,48472.27589,53293.93922,50763.88444,44087.50511,46741.65511,38867.44119,40358.00148
Dffa,43970.13533,43850.594,47852.36267,42456.53,36548.65633,35802.302,26150.83523,27274.381
Dync1i2,11713.4532,12421.3692,15384.7526,15473.7154,13352.9178,14103.0622,13171.46274,13044.9809
Eps8l1,3365.972,2864.821,6298.264,6311.244,4734.837,4310.147,2162.3941,2573.1306
Fads3,5307.411,5515.552,7239.547,8118.733,5510.119,5768.302,3610.6688,3805.3906
Fam114a2,4034.661,3460.601,20776.98,21091.59,13072.031,9482.838,5290.6761,6598.0828
Fam134c,5495.60425,5913.84475,6263.94225,6446.64775,4914.77425,4524.57325,4332.538925,4536.29095
Fam208a,50451.03783,49464.6655,52274.9,49550.49833,44240.251,43127.12733,40551.03663,39626.76777
Fhod1,18693.8,17448.895,24218.76,25089.80333,18495.76433,16383.45,12136.46077,13818.82493
Flna,29875.78583,29028.77717,38510.36717,39715.3585,44378.251,40031.659,30882.50447,31180.48735
Foxk1,39345.0262,41850.21073,60024.65,66709.0256,54814.65867,53555.4306,39959.33517,42729.54925
Foxo1,62366.37576,62548.23476,45881.46794,49722.91718,49340.28482,51649.41029,46083.45846,45262.40319
Gbf1,11433.36988,10924.21638,17093.99225,16232.3275,12994.85888,12595.94025,11599.47731,12071.10096
Git2,16498.609,15748.217,17627.17614,16699.96371,15624.86486,15491.18257,13159.6727,13285.19293
Gmip,25950.18842,26192.73275,24651.35167,24117.74167,24473.50742,25152.43758,20853.29246,20600.23629
Gpr112,22707.81667,21760.81333,32857.70667,31133.34333,26115.74467,24252.47333,22770.61237,22187.69897
Gps1,25255.8845,22909.87367,40987.5395,43331.20317,41634.13733,36978.68133,28636.91875,28579.90693
Grik5,8778.2045,9079.469,13676.62,11825.996,6781.5145,7261.8635,5406.01535,5266.46115
Gvin1,14782.345,9769.747,27650.83,29608.625,22090.4675,20843.42,11615.2067,13480.7561
Hnrnpf,9570.267667,9839.468667,17728.23667,16075.31,19822.50667,19109.16,13067.30297,13508.1851
Hnrnpul2,54276.90053,50029.78733,57638.1044,52989.28,40425.21193,42620.9668,28848.85837,29293.90021
Ier2,2541.937,2630.719,8967.556,10050.934,4310.315,4207.93,3684.8739,3854.95455
Il7r,6904.05825,7054.50775,9525.303375,9023.000625,5278.87925,4870.8935,3361.416188,3851.56715
Irf2bpl,28511.3823,28993.94622,28307.38244,27392.54022,25765.76567,26284.77281,23741.17057,23608.12636
Lmna,8990.5444,8702.4756,14346.4878,12849.4,12770.9395,12303.1874,8075.70905,8755.4571
Lmnb1,23295.07412,22564.2452,38562.76968,37059.64312,26326.70488,24187.04148,18763.6127,19267.54507
Loh12cr1,23060.04,22929.72,56424.64,54156.675,59873.329,51079.845,38553.2097,34747.9239
Lpxn,36458.96,38842.16,127860.64,110557.73,99140.32267,93607.81333,56265.46727,62028.98867
Lsp1,86190.75124,88251.12114,85325.28217,84235.20321,71430.89707,72078.12424,63924.67679,62861.40419
Luc7l3,43290.06536,43341.49118,46333.34691,44198.29755,32989.45018,34053.67482,27981.26864,29182.44856
Madd,17089.07927,16519.59945,17323.86455,17739.16282,15584.34336,15840.94273,13759.63718,13918.37081
Mcm2,14794.51154,14352.18096,13419.25668,12945.10279,15495.70139,15431.79614,22491.57826,22860.82358
Mcmbp,11901.663,11927.00875,14611.3115,14095.14675,14115.487,13959.4935,12805.2998,13245.57185
Mocs2,20409.14,18161.59,46481.88,46642.53,23385.814,21152.07,21825.9661,21677.916
Morc3,113537.25,108668.225,142653.135,129640.785,111982.196,108146.92,89198.045,88054.5882
Ncl,17644.337,17302.38475,22457.07025,22530.41138,23080.51563,22286.33088,19337.57729,19250.91738
Nfatc3,16122.87325,16822.69425,22478.18525,22564.14825,18906.2575,18504.25825,18066.55655,19222.41903
Nfic,16533.19571,16514.42857,14971.78314,14978.62086,14127.21629,14057.70529,12268.87009,11805.95904
Nolc1,28392.52147,27345.53547,28721.24906,27511.20647,38763.59647,36320.54141,51783.06141,55936.61389
Nr4a1,10852.93425,11007.82725,34548.9,34751.76,24938.315,24545.7075,14752.08663,15978.19565
Pag1,11137.1,12071.2351,17383.8385,16597.1733,16261.8429,15124.5857,10722.3814,10769.23445
Pak1,8754.805,9451.4305,18277.725,17324.01,18916.572,16463.7595,12719.2214,12759.94245
Pdcd4,110286.4452,111461.0122,90117.28883,96364.23267,27954.41833,39498.45133,21666.62938,20427.89102
Pea15,77592.42,64611.85,140506.29,129281.76,109609.8275,94247.175,64962.9102,70194.23745
Ppm1h,36170.81467,36330.33033,37647.56844,37826.30533,32546.79578,33036.302,26038.68463,26204.39568
Ppp3cb,11017.31,10880.8,28737.6,25874.8,18248.469,15638.5,11980.9941,13423.6547
Ppp6r2,54189.935,58124.54,100282.18,96824.565,82930.1445,77601.69,57424.7404,60539.6832
Prkaa1,29963.86,27755.46,32731.43,34329.24,31759.812,30805.01,18331.7512,21635.0154
Prkar1a,188014.9234,192574.368,282432.9834,284217.3618,268157.1362,253164.3596,200922.838,191403.4946
Prkce,6310.498,6234.498,12114.83,12285.32,11749.065,11380.59,6648.3217,6532.747
Psd4,13206.11985,12820.43423,18769.01962,18245.50854,16830.737,16072.28169,12265.34418,13848.52085
Ptpn7,62278.53,70491.24,153317.1,145270.3,120801.047,114556.4,82546.94,92318.5958
Rasa3,8730.984667,8225.175,23560.41,23030.15333,17081.55833,15442.61333,9438.9762,9997.418867
Rbbp5,6821.116667,4560.491333,16111.172,15046.84767,19480.107,18481.533,9515.093833,11037.42637
Rbm12b2,16662.1925,17008.1905,23456.765,22749.705,21177.4975,20117.595,17653.3231,17191.69665
RBM8,35186.8875,34933.118,45336.8545,45606.8005,28467.943,29409.8655,28276.8336,29994.97695
Rbm8a,13695.75,12337.177,27266.1,24575.015,18181.392,16464.0125,14111.9543,15614.94195
Rcsd1,38156.89913,37563.16233,38413.05487,39333.2452,38736.00007,38404.98493,34059.6607,34230.36943
Reps1,21039.60595,21485.49953,26842.65679,25846.52642,21372.36016,20149.04321,18430.81908,18719.13637
Rhbdf2,23105.3745,24141.466,20539.335,21342.267,18691.413,19456.851,16595.62605,16538.8983
Sae1,16694.0515,17799.6365,32217.435,34603.67,23087.786,22453.865,18242.03805,16425.78185
Satb1,53357.89452,52995.99,53434.17262,54278.09667,68514.633,65732.265,70519.89983,75903.15055
Senp1,4448.051,4820.715,8004.992,7395.456,6179.462,6060.651,5915.9888,5624.246
Setd1a,16411.48436,16701.78118,19680.54982,19167.42109,17629.492,17390.80445,16106.86363,16186.51956
Setx,104278.5867,100239.4033,199378.7977,191640.7233,168310.644,163245.277,123159.8736,122945.1586
Sit1,11543.51988,11754.27338,13268.70388,12916.18638,11979.86263,12030.94838,11028.03358,10756.45483
Slc9a3r1,40600.59886,40505.9923,43896.46398,40846.63193,33468.00477,33931.4073,22796.3461,23632.89315
Smarcc2,93966.79175,94214.78716,86350.97206,82210.95244,71894.71278,77159.57369,57703.64776,58428.82077
Stx7,10997.829,10164.8644,15183.2634,15370.231,14627.6452,13345.5058,9011.2681,9372.67694
Sub1,49980.5337,51667.39255,71921.9937,80664.6589,66254.32175,63752.3005,39886.23579,40535.89469
Sun2,41661.83614,38522.926,55839.07571,60761.29143,36989.35929,38114.33057,35802.02107,33520.84804
Tab2,16045.0414,16213.4528,17821.7962,15879.1608,10788.144,12012.6364,9331.47268,9714.0946
Themis,10070.31,9334.008,35600.06,37260.61,39314.329,35735.42,15925.4607,17204.8385
Thrap3,99452.55443,98096.06745,134931.9979,126067.9647,99360.41017,100708.5491,80518.52327,81023.19829
Tor1aip1,28041.48327,26227.59118,31155.38241,32773.56436,21249.49318,22057.54845,17978.4349,17721.87245
Tpmt,11266.84,11476.41,14811.5,13343.54,15084.577,14302.72,9478.0949,9542.5632
Traf1,5336.987333,5204.779333,7276.423,7294.522,7564.483333,7471.947333,6559.644067,6300.4799
Trim28,55429.80236,52935.90914,115963.1841,113864.7545,58027.11621,55844.35793,35794.77675,38203.42783
Ttc6,16236.13,14988.65,24788.49,25476.39,18954.757,20586.95,14455.8783,13993.8233
U2af1,6345.7575,6239.059,20877.64,17789.745,12021.4795,11559.44,8240.7915,7723.9422
Usp14,60428.2,59041.764,71981.028,67726.212,76263.6932,75417.968,74987.67898,76111.85334
Vamp1,3929.269,5256.963,19510.99,22306.38,15725.186,11731.52,7494.982,7259.7542
Vapa,9698.7585,9469.201,16721.64,17337.24,11722.567,12113.37,10886.258,10093.73365
Vav3,9435.657,11436.69,17877.19,17953.77,13987.436,13253.62,11952.1311,12364.2906
Vps72,23409.445,20295.595,32945.715,33162.535,23129.902,22592.98,17625.1347,16993.10675
Zc3h14,17128.92833,17095.50189,26767.35189,23633.543,17904.64522,17012.09544,14363.9453,14261.49402
Zmym2,37445.1675,36249.9375,47890.5625,46768.125,37267.20825,37635.7425,42224.13235,40693.68453
Znf639,29137.39,25400.36,41975.47,45515.8,44035.227,42072.4,24423.2686,27709.4746
Zyx,19121.84113,19156.64963,30540.69613,33029.23988,27601.3845,25650.73375,21467.89748,20461.80025
Abcb1b,13972.2015,13681.2695,12228.168,12555.595,16310.263,15137.9535,33596.0758,36179.0702
Abcc1,9306.4115,10080.3215,8627.1785,8587.0415,11790.7075,10673.3515,16473.36225,17904.5115
Acaca,17751.7664,17945.4496,22831.528,21591.4362,26767.626,25170.526,45126.36044,48228.18926
Aebp2,13496.98714,14165.96243,13784.31057,14149.44097,24940.98586,22949.143,28396.04581,29526.1604
Agfg1,43345.66367,45488.977,49249.469,45046.0315,62866.14417,59898.05483,67757.0468,65940.66078
Akap1,3812.919333,4103.795333,4407.059,3541.952333,5338.618,5026.601,10324.5266,10961.75253
Alg2,9604.531,10055.51,10649.74,10297.77,15799.308,14495.93,17284.39,15635.8592
Amfr,6681.808,4886.248,4753.984,4204.755,14723.068,15230.75,20125.9192,19334.5817
Ankrd17,10600.7099,10495.3737,9588.1553,10756.4767,14965.5914,13569.1031,16241.0041,16984.01268
Atn1,21283.452,20672.1998,20086.4727,19422.6993,23769.0845,24003.571,22536.54426,22897.03249
Atp1a1,6719.2315,7222.864,7747.39,8576.8015,14398.2025,14032.295,18144.01945,17624.9711
Atxn1,11044.21475,10559.807,9632.32575,9510.58175,10970.61675,10740.9435,12512.3536,12100.25073
Cad,16966.611,17077.36,20108.217,19031.7945,22656.9835,21832.8855,29231.2479,29210.95233
Caprin1,35279.045,35087.285,40539.415,43525.295,45155.7855,43620.89,52277.0033,50579.5073
Cblb,14518.84046,15463.28638,11712.31623,10776.892,26416.93269,24819.35285,32049.90038,34267.62175
Cct4,2632.426,1942.476,2802.96,1826.533,4264.804,4620.484,5629.031,5973.8136
Cd3eap,5130.684,4822.73,6638.163,6683.719,9922.224,10513.47,18006.5007,19102.0939
Cd69,5225.9365,5153.9995,6584.1675,7060.458,23120.1415,19498.7,20924.34165,23492.32785
Cdc26,5781.9385,6009.878,7181.926,6117.1635,6823.2065,6639.8655,9457.0952,9496.88195
Cdk4,10478.455,10667.79,11084.515,10097.057,16627.304,14127.205,29674.8616,33875.6387
Cebpz,9215.006,9184.063,8442.9285,8268.062,9459.455,9359.71,12454.7742,12276.6629
Cgn,3886.004,4248.15,5975.545,5952.703,5565.401,6252.03,10546.9234,10972.918
Chek1,5995.4875,6269.03825,6735.176,6064.6675,6295.30075,6202.33,15516.3811,14288.99403
Clasp1,11703.9715,10384.72158,11289.48567,11667.15692,14009.87975,13807.04492,19535.86538,20151.45227
Clip1,9923.533692,8153.951,7311.456769,8535.473231,12099.00623,11800.46208,15269.52802,14992.62815
Cluh,2458.503,2503.7175,3914.851,3372.8605,5815.657,5852.9445,7522.25705,7932.81115
Cry2,5791.898,5397.0125,5690.9735,5836.566,8130.9815,7390.957,8611.8299,9299.36435
Csde1,3844.0775,3471.2115,4080.4465,3711.7935,9294.405,8684.218,24208.8798,28373.81305
Csnk1d,7560.5516,6325.6198,7815.7814,7177.538,10879.6366,9989.7476,14261.05266,14128.73568
