GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Lnpep,13.96851775,13.93178967,15.21297275,14.80265872,14.90081298,14.88086637,14.53707423,14.48545677
Ccne1,14.87625127,14.67601441,14.83326673,14.77768554,14.74748785,14.78255443,14.52599515,14.65518285
Sh3bp2,13.58362213,13.56539557,13.63230307,13.77990132,13.77789185,13.64745317,13.49009355,13.58450651
Ankrd17,13.93313876,13.91241394,13.76649298,13.63060637,13.84461013,13.8844597,14.45115324,14.45918528
Fosl2,13.6052146,13.65816392,13.88681291,13.74111019,13.70560253,13.72763821,13.60843374,13.62919681
Rbm8a,15.02699655,15.04288926,15.07863253,14.90540014,14.91282786,14.84770202,14.85886684,14.76138224
Slc38a1,13.85846374,13.45760313,13.92283868,13.7519043,13.29096698,13.45004588,13.53987918,13.84788343
Eif5b,14.38174507,14.33352837,14.18772933,14.36395422,14.30935132,14.32294811,14.30650018,14.22268978
Rpap3,14.37930111,14.23840727,15.48224029,15.42678322,14.45624353,14.33352837,14.41148499,14.38321677
Sympk,16.82620745,16.75679374,17.10121092,16.9609123,16.78935715,16.70962919,16.48354016,16.43825963
Ipcef1,13.64939726,13.5095433,14.21783809,14.30018456,13.89705294,13.87662969,13.75863906,13.43096329
Dffa,13.19824739,13.15288364,13.36806347,13.53987918,12.99225481,12.94275742,12.94424433,13.02794388
Pip5k1a,15.56663472,15.36912829,16.30515875,15.93220259,15.47304018,15.52887838,13.8774888,14.49605284
Pea15,14.17365554,14.16884397,14.47882674,14.41468338,14.43314525,14.41933517,14.22480269,14.19247161
Tomm70a,13.825723,13.87206671,13.80636348,13.82115745,13.6565187,13.71342336,13.58450651,13.58257734
Sun2,12.19921153,12.1882572,12.86310357,12.83616643,12.66540333,12.25126222,12.06724141,11.92764193
Ndrg3,14.20098375,14.05638007,13.64492489,14.14799058,13.86798363,13.85152391,13.80401742,13.73323614
Fra10ac1,14.66789671,14.62551428,14.60224037,14.31686472,14.48974506,14.62780496,14.29730596,14.20010152
Tacc2,14.04706787,14.13845183,14.47987298,14.41721462,14.13951104,14.13951104,14.12374761,14.19037287
Nr2c2ap,12.4517869,12.52929419,12.96357346,12.93287742,12.89566982,12.65064524,12.18534349,12.13540563
Foxj2,14.08035208,14.11536104,13.92658113,13.83367948,13.70747793,13.74440337,13.54260527,13.4606053
Hspa14,14.83033981,14.80960365,14.84770202,14.68712981,15.20772859,15.12580894,15.70332855,15.79535593
Phb2,14.31215444,14.32838538,14.66654755,14.42811344,14.3864753,14.27288514,13.55628058,13.69499043
Nmd3,13.46815677,13.54496488,15.09361716,15.03221743,14.55201971,14.56060266,13.81548068,13.91593537
Dot1l,12.72311048,12.75229745,13.35494992,13.56539557,13.22371416,13.1960367,12.93160738,12.72123658
