ID	0h.a	0h.b	2h.a	2h.b	8h.a	8h.b	16h.a	16h.b
Bcl6	13.9392890596834	13.9337862024695	13.3406954405649	14.1718658767305	13.8807768056684	13.9124139391267	13.6042454006319	13.6516744855543
Bcl7a	12.7016883377115	12.8018550542138	13.1599375343525	12.8559173998979	12.8361664295955	12.7716442615884	12.6919394214	12.5911842437847
Bcl7b	15.144426753239	15.4412819966522	15.2618256988989	15.0969002105606	15.2251713440553	15.2965542993491	15.4833018302871	15.633980784361
Bcorl1	13.9152560309113	13.8052520377248	13.3599501627273	13.5549596904633	13.8484378349989	13.8087835087873	13.8529704972286	13.9293304389999
Bcr	13.1639761969586	13.2279167076661	13.2866272842575	13.1639761969586	13.0961154453066	13.3406954405649	13.0901358698708	13.1585232734125
Bdp1	11.747779650355	11.6888805410692	11.1143753346472	11.917662776101	11.8745207813397	11.605753126658	12.0572873086374	12.0572873086374
Bet1l	11.9427519840802	12.130395819723	12.7540288970608	12.2130595368669	12.0432476507348	11.8579883441715	11.605753126658	11.7529881196761
Birc6	13.9340782289042	14.0067694157677	13.8216100536135	13.7596455333108	13.6763776831216	13.7489335715878	13.7164842368708	13.7098403303545
Blnk	11.543373571877	11.2732273617776	11.5598527172959	11.5370870952658	11.1143753346472	10.7251422631618	10.9803146478678	11.2559335106523
Blvra	12.36599312729	12.1658156605608	11.8351166250731	12.0895371446708	12.0080391636282	12.1270628319392	12.3164547582695	12.2791966127741
Bmi1	14.3489301321335	14.3917999039943	14.6954639919037	14.6490230179041	14.2837786097113	14.1566485145742	14.3219242958246	14.5414029455747
Bmp2k	13.1968874059283	13.0613495682109	13.3978596732459	13.2260699752703	13.3406954405649	13.2128031864925	13.1453308919058	13.2321794401169
Bnip2	14.5448603779655	14.4955507159232	14.4366011320488	14.0732879583765	14.162162783419	14.0826823136814	13.7675842962581	13.8644257290166
Bola1	13.884459701362	13.9202311780748	13.6775013860413	13.603134567948	13.5261788533963	13.6221961360838	13.8126683579373	13.794266672286
Boll	12.6866501004691	12.7857442897136	12.8680890578143	12.823909497434	12.5591503455383	12.8568785682197	12.5789191097211	12.565575806715
Bptf	13.4061709872003	13.3021395281745	12.7145978988344	13.496310795929	13.0632445031948	13.1473694530553	13.2920787133386	13.3899004330279
Braf	14.8822535178468	14.9140897259325	14.8588668385483	14.7226192239818	14.8373777674196	14.7376258497316	14.8096036454259	14.7710130356886
Brat1	13.3182011868601	13.4726758261138	13.137587474882	12.892428946835	12.7696927368352	12.9391874019878	13.3559589753575	13.3096912340872
Brca1	12.545069521496	12.573242247901	12.6029134473477	12.6801926337607	12.1707464009893	12.1853434945217	12.9696629744462	12.9368403313222
Brd1	14.1696450416763	14.0732879583765	13.7950010861436	14.7812874842838	14.4318822160621	14.3627904821283	14.3379512699876	14.5147367224408
Brd2	14.8128041706708	14.8260435516087	14.6514843797605	14.6907779852298	14.5989657115946	14.7176759274529	14.7904921888574	14.692632586164
Brd3	16.849624802727	16.8992615944402	16.0009591972012	16.7567937435873	16.5150037601745	16.4621490417634	16.3962644001601	16.4683089131336
Brd4	15.5081373270267	15.495244160301	14.9798943943351	15.3640294752828	15.3531811627362	15.3710706453273	15.274063052458	15.2077285887654
Brd7	14.0554159670435	14.1522261111861	14.0600909409739	13.8679836279932	14.0554159670435	14.0951724003394	13.8188535216692	13.8007080427969
Brd9	13.6437978704318	13.6828499104395	13.50579894349	13.6461733166968	13.3808016960529	13.4749472127104	13.1772591498794	13.1444473827366
Brms1	15.8102296110504	15.2774247760472	15.979667263741	15.6922472100963	15.3180833330166	15.5110004348235	14.7732689709453	14.9071707171004
Brms1l	11.4719419835798	11.6543371845408	13.3032118231244	12.7231104786486	12.5319936195946	12.3692269085114	11.7696817249396	11.9774367532932
Brpf1	15.9071612304717	15.833925539654	15.3493904129781	15.8216530170817	15.6844564444853	15.758887967648	15.5884101221799	15.5666347243294
Brpf3	13.7508207625938	13.6688399683406	13.6188975012935	13.3891733903426	13.4321723572331	13.6306063705876	13.4825941525425	13.4553823583025
Brwd1	13.2851062211222	13.2740092155896	13.0055378717408	13.2579931946722	13.3344965783559	13.2480990240783	13.4080752003058	13.4340833155711
Bsdc1	11.2732273617776	11.2559335106523	12.6960462918445	12.4287505019895	12.2914211763461	11.5370870952658	11.5524316702932	11.3787580604183
Btaf1	14.1166476915088	13.9166612841584	13.8240386259338	14.1933013251513	14.0227167550445	14.0008197727188	14.1903728723712	14.395588271198
Btbd10	12.0159449752165	11.8249679798391	12.3679717323796	12.2416095910538	12.6461950321027	12.5526665378638	12.3912591677561	12.6834468980728
Bzw1	13.9166612841584	13.8815764425392	14.1384518315458	13.6792668857026	14.0892745584864	14.0834754395032	14.2017618967618	14.2133833246658
C2	16.8055683164972	16.355407243056	15.9936367081416	16.2690821675571	16.2825070792866	16.6400644591627	16.5730053086485	16.3962644001601
C5ar1	12.4902158647357	12.9171491603519	12.8519752039877	12.8771634183879	12.6852039772006	13.0299396590255	12.7556189829884	12.507828135942
C78339	12.3018083406309	12.3451851413872	12.2806068028816	12.2531110823012	12.3386355832514	12.3932493559886	12.4963978082652	12.6814737343925
C86695	14.1083494510376	14.0690900388176	14.2898785651896	13.463414829814	13.6238732380387	13.6885784793064	13.1182387034331	13.137587474882
Cabin1	13.6571284550755	13.6005225468928	13.7550596738949	13.5426052659797	13.3228737421536	13.4174960914864	13.2630351458304	13.2827700380888
Cables2	14.9342081890658	14.8275266880881	14.9721387340016	14.9264548023332	15.0066418578978	15.03840907202	15.0202157028022	14.9244833160656
Cacna1h	12.0111842094872	12.524242433276	11.9925217923623	12.3578438583146	12.4445918655939	12.2130595368669	12.0038447121112	11.8187309862351
Cacnb3	12.6238946190695	12.5561943055643	12.0729034962414	12.4596527410791	12.2336045573282	12.2806068028816	12.507828135942	12.3069493118759
Calcrl	12.2492063025328	12.2806068028816	12.6763281019964	12.2255147103706	12.2547939452663	12.2676454793104	11.8486600288859	11.6824476921926
Calml4	12.730288937147	12.6400882492522	12.5762098929679	12.3794036181469	12.7647092862788	12.9236604618506	12.9040072743333	12.6489024670512
Camk4	13.0035763884207	13.0652135098345	12.7888011289125	13.0460231730875	12.8003974809903	12.9966332132411	12.1270628319392	12.3808457621073
Camsap2	13.0351626946354	12.7968194580317	12.0507547878924	12.7069420115109	12.7386625104046	12.5561943055643	12.4680770608511	12.892428946835
Cap1	15.2844717114601	15.342071652474	15.71794094558	15.7006812091605	15.4040283629266	15.4195579892114	15.4073407044575	15.2989322921836
Capn15	14.4932314091964	14.6197083161947	14.890260707065	14.874540193426	14.6785146327336	14.7904921888574	14.7360170212553	14.7825544342734
Capn5	15.5511934196934	15.4885781969223	15.4371815402038	15.4648380315921	15.3588613542865	15.3691282874889	15.4040283629266	15.3091988894606
Card10	12.823909497434	12.8761164032145	12.599600160425	12.7109330436356	12.7548484810417	12.6009183535066	12.7145978988344	12.823909497434
Card6	15.2218713958285	15.2454962324135	15.1940831019253	15.1956160578184	15.6949871250351	15.525742404449	15.5564262909691	15.5456785097756
Casp3	14.7512263680697	14.501174929216	14.5817091978052	14.4554210557878	14.4833840466141	14.4818484923917	14.4090524658596	14.405085093221
Cast	14.0990116287611	14.1946635166668	13.8087835087873	14.2220091185482	14.3168647163957	14.2816736770552	13.8930001215006	13.9270785910022
Cbfb	16.217242208497	16.3123385893828	15.9272577233374	15.8724179142243	16.1585786003812	16.2924998443382	15.8016176609746	15.8763166073099
Cbx1	17.4393955074145	17.0648764360976	17.4393955074145	17.1758272028862	17.1109590106221	17.2415449238186	16.4745947717541	16.605874731751
Cbx8	12.4801635045373	12.4472421899783	12.2153588008344	12.7405813370509	12.4576516401868	12.4576516401868	12.5897500030997	12.6852039772006
Cc2d1a	14.908589991506	14.9128278637408	13.6212533131968	14.8275266880881	14.4021962461974	14.3545047319642	14.8248892575913	14.7839491941137
Ccar1	12.4781339682434	12.655779246891	12.2399022080776	12.6731128549601	12.3501238375713	12.4832679130143	12.0507547878924	12.1764009446283
Ccdc114	12.9696629744462	12.5280243373852	12.9402805782792	13.0156329300413	12.5782755254603	12.8229354270041	12.730288937147	12.6782745447601
