GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Bcl7c,8.1E+03,8.5E+03,1.3E+04,1.4E+04,1.5E+04,1.4E+04,1.3E+04,1.4E+04
C2cd5,1.5E+04,1.6E+04,3.3E+04,2.9E+04,2.6E+04,2.8E+04,2.4E+04,2.8E+04
Camk2d,5.1E+03,5.6E+03,7.3E+03,7.3E+03,7.1E+03,6.8E+03,9.3E+03,7.8E+03
Camk2d,8.0E+03,8.2E+03,1.1E+04,1.0E+04,1.1E+04,1.0E+04,1.2E+04,1.3E+04
Camlg,4.5E+03,4.8E+03,6.6E+03,7.4E+03,7.6E+03,6.7E+03,8.9E+03,9.7E+03
Canx,2.4E+04,2.3E+04,3.1E+04,3.2E+04,3.2E+04,3.2E+04,4.0E+04,3.8E+04
Carhsp1,3.2E+04,2.5E+04,6.0E+04,4.4E+04,7.1E+04,7.0E+04,7.0E+04,7.4E+04
Ccdc6,4.9E+04,4.8E+04,9.7E+04,7.7E+04,9.0E+04,8.3E+04,8.4E+04,8.5E+04
Ccnk,1.2E+04,1.1E+04,2.0E+04,1.9E+04,2.4E+04,2.0E+04,2.7E+04,2.5E+04
Cdh6,7.3E+03,6.5E+03,1.1E+04,1.1E+04,1.2E+04,1.0E+04,8.8E+03,9.4E+03
Cdk17,8.6E+03,6.7E+03,1.1E+04,1.0E+04,1.3E+04,1.3E+04,1.3E+04,1.4E+04
Cds2,2.5E+04,2.3E+04,4.7E+04,4.2E+04,5.3E+04,5.1E+04,4.3E+04,4.6E+04
Cds2,8.1E+03,7.7E+03,1.2E+04,1.1E+04,1.4E+04,1.4E+04,1.4E+04,1.4E+04
Clcc1,5.6E+04,6.3E+04,1.7E+05,1.9E+05,2.5E+05,1.9E+05,1.3E+05,1.6E+05
Cnot3,3.2E+03,2.8E+03,5.1E+03,4.6E+03,5.8E+03,5.6E+03,5.9E+03,6.6E+03
Copb2,5.1E+03,5.4E+03,1.1E+04,9.8E+03,1.2E+04,1.2E+04,1.0E+04,1.1E+04
Cry1,1.1E+04,1.1E+04,2.0E+04,1.6E+04,2.0E+04,1.8E+04,1.7E+04,1.8E+04
Ddx20,1.0E+04,1.0E+04,2.3E+04,1.9E+04,2.7E+04,2.5E+04,3.3E+04,3.3E+04
Dmxl1,3.6E+03,3.0E+03,1.5E+04,1.4E+04,1.4E+04,1.3E+04,9.0E+03,1.0E+04
Dopey2,8.3E+03,7.0E+03,1.4E+04,1.2E+04,1.4E+04,1.3E+04,9.4E+03,1.2E+04
Dopey2,1.1E+04,1.1E+04,2.3E+04,2.2E+04,2.3E+04,2.1E+04,1.5E+04,2.0E+04
Dync1li1,9.0E+04,9.4E+04,1.5E+05,1.4E+05,1.5E+05,1.5E+05,1.2E+05,1.3E+05
Dync1li1,2.3E+04,2.3E+04,4.4E+04,3.9E+04,4.7E+04,4.6E+04,4.0E+04,4.2E+04
Dync1li1,2.3E+04,2.3E+04,6.7E+04,6.4E+04,8.1E+04,7.2E+04,6.3E+04,6.5E+04
Ehmt2,5.2E+03,5.1E+03,2.2E+04,2.9E+04,2.4E+04,2.0E+04,2.5E+04,2.6E+04
Ei24,3.5E+04,3.2E+04,6.7E+04,6.9E+04,6.1E+04,5.5E+04,5.5E+04,5.2E+04
Eif3a,1.5E+03,1.5E+03,5.0E+03,3.8E+03,6.6E+03,5.1E+03,5.1E+03,4.7E+03
Eif3b,4.5E+04,4.6E+04,7.7E+04,6.9E+04,6.6E+04,6.5E+04,7.0E+04,7.5E+04
Eif4b,7.5E+03,8.9E+03,3.9E+04,3.6E+04,4.0E+04,3.4E+04,4.9E+04,5.5E+04
Eif4b,1.0E+03,8.0E+02,6.6E+03,8.2E+03,1.2E+04,1.1E+04,1.4E+04,1.3E+04
Eif4b,1.9E+03,1.9E+03,4.2E+03,3.1E+03,4.9E+03,4.3E+03,3.8E+03,4.3E+03
