GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Rbmx,1.0E+04,9.1E+03,9.3E+03,1.2E+04,1.3E+04,1.2E+04,1.8E+04,1.9E+04
Rbmx,5.2E+03,5.4E+03,5.0E+03,6.1E+03,5.9E+03,7.2E+03,1.0E+04,1.0E+04
Rbmx,5.7E+03,4.5E+03,4.7E+03,5.4E+03,6.6E+03,6.7E+03,9.0E+03,9.4E+03
Rbmx,3.1E+03,3.6E+03,1.5E+03,3.8E+03,4.5E+03,4.4E+03,6.8E+03,7.5E+03
Rbmxl1,6.4E+03,6.1E+03,5.6E+03,9.4E+03,1.0E+04,1.1E+04,1.9E+04,1.8E+04
Rbmxl1,1.1E+04,9.1E+03,6.0E+03,1.5E+04,1.7E+04,1.6E+04,2.5E+04,2.9E+04
Rc3h1,3.4E+03,3.9E+03,4.2E+03,3.0E+03,6.4E+03,5.9E+03,8.4E+03,8.0E+03
Reep3,1.1E+04,9.4E+03,1.1E+04,1.1E+04,1.9E+04,1.5E+04,2.8E+04,2.8E+04
Rere,2.0E+04,2.0E+04,1.8E+04,2.0E+04,2.2E+04,2.1E+04,3.4E+04,3.7E+04
Rfx7,2.7E+04,3.1E+04,2.3E+04,2.7E+04,3.6E+04,3.1E+04,4.6E+04,4.4E+04
Rfx7,8.6E+03,7.1E+03,5.7E+03,6.2E+03,1.1E+04,1.1E+04,1.5E+04,1.3E+04
Rgcc,9.7E+03,1.1E+04,1.2E+04,9.4E+03,1.4E+04,1.4E+04,1.6E+04,1.5E+04
Rgs9,1.4E+04,1.4E+04,1.3E+04,1.2E+04,1.5E+04,1.6E+04,3.1E+04,3.5E+04
Rnf219,6.4E+03,6.8E+03,5.6E+03,6.6E+03,7.7E+03,7.1E+03,1.0E+04,1.2E+04
Rnf219,3.2E+03,3.8E+03,4.7E+03,4.6E+03,5.6E+03,6.5E+03,7.2E+03,7.5E+03
Rnf219,1.1E+04,8.2E+03,9.3E+03,8.9E+03,2.3E+04,1.6E+04,2.2E+04,2.2E+04
Rnf219,4.9E+03,3.8E+03,8.0E+03,7.6E+03,1.1E+04,8.4E+03,2.8E+04,3.4E+04
Rnf219,1.4E+04,1.4E+04,1.1E+04,1.2E+04,2.4E+04,2.1E+04,4.5E+04,4.5E+04
Rnf219,6.5E+03,6.6E+03,4.9E+03,5.0E+03,9.1E+03,8.1E+03,1.7E+04,1.7E+04
Rnmt,1.7E+04,1.8E+04,2.2E+04,1.3E+04,2.0E+04,1.9E+04,3.4E+04,3.5E+04
Rnmt,7.3E+03,8.1E+03,8.4E+03,8.1E+03,8.9E+03,8.6E+03,1.2E+04,1.1E+04
Rnmt,2.8E+04,3.0E+04,3.0E+04,3.0E+04,3.2E+04,3.0E+04,4.8E+04,4.7E+04
Rorc,7.7E+03,7.0E+03,5.3E+03,6.4E+03,5.8E+03,7.2E+03,1.2E+04,1.1E+04
Rpap3,4.8E+04,4.3E+04,3.8E+04,4.1E+04,4.1E+04,4.4E+04,6.3E+04,6.7E+04
Rpl12,7.1E+03,5.0E+03,8.4E+03,9.3E+03,3.1E+04,2.7E+04,5.2E+04,5.3E+04
Rpl13,2.9E+03,3.1E+03,3.5E+03,4.1E+03,5.5E+03,4.8E+03,8.8E+03,8.9E+03
Rpl13,5.5E+03,4.7E+03,4.1E+03,6.0E+03,8.2E+03,7.5E+03,9.5E+03,1.1E+04
Rpl13,3.9E+03,3.5E+03,4.1E+03,3.9E+03,6.4E+03,5.1E+03,1.0E+04,9.1E+03
Rpl13,2.9E+04,2.7E+04,2.6E+04,3.3E+04,5.2E+04,4.6E+04,9.9E+04,8.3E+04
Rpl18a,3.9E+03,3.4E+03,3.3E+03,3.9E+03,5.1E+03,5.1E+03,7.2E+03,8.0E+03
Rpl32,1.4E+03,1.3E+03,2.0E+03,2.0E+03,7.6E+03,6.0E+03,1.2E+04,1.5E+04
Rpl6,6.8E+03,6.7E+03,9.8E+03,1.5E+04,2.9E+04,2.5E+04,2.9E+04,3.3E+04
Rplp2,4.6E+03,4.2E+03,4.5E+03,5.1E+03,5.8E+03,4.7E+03,8.0E+03,8.0E+03
Rplp2,1.8E+04,2.0E+04,2.0E+04,1.9E+04,3.0E+04,2.7E+04,4.3E+04,4.6E+04
Rps10,1.4E+04,1.3E+04,1.3E+04,1.4E+04,1.9E+04,1.8E+04,2.8E+04,2.5E+04
Rps10,3.5E+03,3.7E+03,3.8E+03,3.2E+03,4.9E+03,4.8E+03,6.1E+03,5.5E+03
Rps10,1.2E+04,1.2E+04,1.2E+04,1.3E+04,1.6E+04,1.6E+04,2.3E+04,2.2E+04
Rps14,1.0E+04,1.1E+04,1.3E+04,9.3E+03,1.4E+04,1.3E+04,1.9E+04,1.8E+04
Rps14,8.6E+03,8.7E+03,7.1E+03,8.5E+03,8.8E+03,8.5E+03,1.1E+04,1.2E+04
Rps2,1.0E+04,8.7E+03,1.3E+04,2.1E+04,2.8E+04,2.7E+04,3.6E+04,3.9E+04
Rps27,3.5E+03,3.3E+03,3.5E+03,3.6E+03,5.8E+03,5.2E+03,6.5E+03,6.3E+03
Rps3,2.2E+04,2.4E+04,2.4E+04,2.6E+04,3.6E+04,3.2E+04,3.9E+04,3.7E+04
Rps4x,2.7E+03,2.3E+03,1.8E+03,3.2E+03,3.4E+03,3.3E+03,5.7E+03,5.2E+03
Rps5,2.4E+03,2.6E+03,2.4E+03,2.4E+03,3.9E+03,3.4E+03,5.0E+03,5.3E+03
Rps6,5.8E+03,6.9E+03,7.4E+03,7.4E+03,8.0E+03,9.1E+03,2.3E+04,2.1E+04
Rps6,6.0E+02,2.9E+02,3.3E+02,1.5E+03,1.3E+03,2.7E+02,7.0E+03,7.1E+03
Rps6,3.5E+03,3.8E+03,4.5E+03,6.3E+03,6.4E+03,6.3E+03,3.0E+04,3.2E+04
Rps6,4.7E+03,3.9E+03,2.0E+04,1.9E+04,3.5E+04,3.1E+04,1.5E+05,1.5E+05
Rps6,1.3E+04,1.2E+04,2.6E+04,2.6E+04,5.6E+04,4.5E+04,6.6E+04,7.6E+04
Rps6,8.1E+03,7.8E+03,1.5E+04,3.2E+04,2.4E+04,2.4E+04,6.4E+04,7.7E+04
Rps6,4.3E+04,3.5E+04,1.7E+05,1.8E+05,3.2E+05,2.8E+05,1.6E+06,1.6E+06
Rps6,1.1E+04,1.1E+04,1.9E+04,2.1E+04,2.9E+04,2.7E+04,9.9E+04,9.6E+04
Rrp1,4.3E+03,3.8E+03,4.5E+03,4.3E+03,7.4E+03,7.3E+03,7.8E+03,1.0E+04
Rrp1,1.1E+04,1.0E+04,1.2E+04,1.1E+04,1.9E+04,1.6E+04,2.6E+04,2.5E+04
Rrp1,1.3E+04,1.3E+04,1.4E+04,1.2E+04,2.1E+04,2.1E+04,2.4E+04,2.7E+04
Rrp1,1.5E+04,1.5E+04,1.5E+04,1.5E+04,2.7E+04,2.6E+04,3.5E+04,4.0E+04
Rrp1,1.7E+04,1.7E+04,2.1E+04,1.5E+04,3.1E+04,2.7E+04,4.1E+04,4.2E+04
Rrp1b,5.2E+03,4.0E+03,4.1E+03,4.1E+03,6.2E+03,6.6E+03,7.0E+03,8.3E+03
Rrp1b,4.2E+03,3.6E+03,4.4E+03,3.9E+03,5.4E+03,4.8E+03,5.8E+03,6.7E+03
Rrs1,5.1E+03,4.8E+03,3.0E+03,3.7E+03,4.2E+03,4.6E+03,7.4E+03,7.4E+03
Safb2,7.5E+03,6.4E+03,5.3E+03,5.3E+03,6.1E+03,6.5E+03,9.7E+03,9.7E+03
Safb2,9.7E+03,8.6E+03,2.7E+03,6.2E+03,6.9E+03,7.2E+03,1.5E+04,1.7E+04
Safb2,4.6E+04,4.2E+04,3.7E+04,3.4E+04,4.8E+04,4.8E+04,5.5E+04,5.6E+04
Samsn1,7.9E+03,6.5E+03,5.9E+03,9.3E+03,1.4E+04,1.3E+04,1.8E+04,2.1E+04
Samsn1,6.8E+03,7.6E+03,8.3E+03,6.8E+03,1.1E+04,8.5E+03,1.4E+04,1.2E+04
Satb1,3.5E+05,3.7E+05,3.1E+05,3.6E+05,4.6E+05,4.4E+05,5.0E+05,5.7E+05
Satb1,4.4E+04,4.3E+04,3.8E+04,4.1E+04,5.2E+04,5.1E+04,6.1E+04,6.3E+04
Satb1,2.4E+05,2.3E+05,2.2E+05,2.3E+05,3.0E+05,2.9E+05,3.3E+05,3.5E+05
Scaf1,4.4E+04,4.1E+04,2.0E+04,3.5E+04,6.3E+04,6.4E+04,7.7E+04,7.5E+04
Scaf11,2.2E+04,2.3E+04,1.6E+04,1.9E+04,2.3E+04,2.4E+04,3.1E+04,3.2E+04
Scap,5.0E+03,5.2E+03,4.5E+03,4.4E+03,5.0E+03,5.4E+03,6.8E+03,7.6E+03
Sdccag3,1.5E+04,1.7E+04,1.6E+04,1.7E+04,2.2E+04,2.4E+04,3.2E+04,3.2E+04
Sec16a,3.7E+03,3.6E+03,2.8E+03,2.7E+03,3.4E+03,4.2E+03,4.8E+03,4.4E+03
Sema4b,8.8E+03,8.1E+03,5.9E+03,5.4E+03,9.4E+03,1.1E+04,2.1E+04,2.0E+04
Sema4b,5.1E+03,5.3E+03,4.1E+03,2.9E+03,7.1E+03,5.9E+03,1.1E+04,1.1E+04
Serbp1,2.6E+03,4.8E+03,5.4E+03,9.6E+03,2.7E+04,2.4E+04,2.6E+04,3.0E+04
Serbp1,4.6E+03,4.4E+03,5.8E+03,6.8E+03,1.3E+04,1.1E+04,1.4E+04,1.3E+04
Sf3b2,2.0E+04,1.8E+04,2.6E+04,3.0E+04,3.3E+04,3.0E+04,4.2E+04,5.2E+04
Sf3b2,4.8E+04,4.6E+04,3.9E+04,5.5E+04,5.8E+04,5.7E+04,1.2E+05,1.1E+05
Sf3b2,2.5E+04,2.4E+04,3.3E+04,3.9E+04,5.2E+04,4.1E+04,6.6E+04,7.4E+04
Sf3b2,2.0E+04,2.0E+04,2.2E+04,2.6E+04,2.9E+04,2.6E+04,4.3E+04,4.1E+04
Sf3b2,4.6E+04,4.6E+04,4.8E+04,5.6E+04,6.3E+04,6.0E+04,9.2E+04,9.4E+04
Sfmbt1,1.1E+04,1.2E+04,9.9E+03,1.0E+04,1.7E+04,1.6E+04,1.8E+04,1.7E+04
Sfr1,3.4E+03,3.0E+03,4.4E+03,4.2E+03,4.4E+03,4.3E+03,6.1E+03,5.7E+03
Sfr1,5.8E+04,5.7E+04,7.5E+04,6.4E+04,6.5E+04,6.7E+04,1.0E+05,9.9E+04
Sfr1,3.4E+03,3.2E+03,4.0E+03,3.3E+03,4.9E+03,4.1E+03,6.6E+03,6.0E+03
Sh2b1,3.0E+03,2.5E+03,3.3E+03,3.0E+03,4.1E+03,4.5E+03,4.8E+03,5.4E+03
Sh2b3,9.0E+03,8.9E+03,9.3E+03,8.4E+03,1.3E+04,1.1E+04,1.4E+04,1.6E+04
Sh2d2a,8.6E+04,8.0E+04,9.5E+04,8.4E+04,1.7E+05,1.7E+05,2.3E+05,2.2E+05
Sh3bp2,1.9E+03,2.6E+03,2.6E+03,2.9E+03,4.8E+03,4.2E+03,6.3E+03,5.7E+03
Sh3bp2,3.1E+03,3.4E+03,3.3E+03,3.5E+03,6.8E+03,5.6E+03,9.9E+03,9.5E+03
Sh3bp5,1.0E+04,1.3E+04,1.3E+04,1.1E+04,1.5E+04,1.2E+04,2.0E+04,1.9E+04
Sik3,6.6E+03,6.0E+03,6.6E+03,6.9E+03,1.2E+04,1.2E+04,1.1E+04,1.3E+04
Sik3,3.4E+03,4.3E+03,4.7E+03,4.4E+03,5.3E+03,4.9E+03,6.8E+03,6.6E+03
Sipa1l3,2.8E+03,3.7E+03,3.4E+03,3.8E+03,5.8E+03,4.3E+03,6.6E+03,6.2E+03
Slbp,1.4E+04,1.6E+04,2.1E+04,1.7E+04,3.3E+04,3.0E+04,4.4E+04,4.6E+04
Slbp,8.1E+03,7.8E+03,9.6E+03,9.8E+03,1.4E+04,1.3E+04,1.7E+04,1.9E+04
Slc16a1,3.3E+04,3.9E+04,3.5E+04,3.4E+04,5.4E+04,6.6E+04,5.8E+04,7.1E+04
Slc16a1,1.2E+05,1.2E+05,9.3E+04,9.6E+04,2.0E+05,2.0E+05,3.1E+05,2.9E+05
Slc16a1,3.6E+03,3.7E+03,6.7E+03,5.3E+03,7.7E+03,7.4E+03,1.3E+04,1.3E+04
Slc16a1,6.4E+04,6.6E+04,4.0E+04,3.9E+04,6.7E+04,7.5E+04,9.8E+04,9.3E+04
Slc16a1,1.6E+03,2.0E+03,3.8E+03,2.3E+03,4.9E+03,4.7E+03,7.9E+03,7.1E+03
Slc16a1,7.3E+04,6.6E+04,8.5E+04,8.9E+04,1.3E+05,1.1E+05,1.5E+05,1.8E+05
Slc1a5,1.5E+04,1.1E+04,1.4E+04,1.3E+04,1.6E+04,1.4E+04,2.4E+04,2.4E+04
Slc1a5,3.2E+04,3.4E+04,3.4E+04,3.7E+04,5.0E+04,5.1E+04,7.8E+04,6.6E+04
Slc1a5,1.1E+04,1.4E+04,1.2E+04,1.2E+04,1.4E+04,1.4E+04,2.3E+04,2.1E+04
Slc1a5,2.9E+04,2.8E+04,2.6E+04,2.7E+04,3.0E+04,3.1E+04,4.9E+04,5.1E+04
Slc1a5,2.4E+03,2.6E+03,3.1E+03,3.0E+03,6.0E+03,5.7E+03,9.0E+03,8.0E+03
Slc1a5,3.1E+04,3.1E+04,3.2E+04,3.3E+04,3.8E+04,3.7E+04,7.0E+04,6.0E+04
Slc29a3,7.1E+03,7.3E+03,5.7E+03,8.6E+03,1.3E+04,1.1E+04,1.4E+04,1.3E+04
Slc38a1,2.7E+03,3.6E+03,4.7E+03,3.6E+03,8.4E+03,6.7E+03,8.2E+03,1.0E+04
Slc38a1,7.8E+03,6.8E+03,8.7E+03,8.3E+03,9.4E+03,9.5E+03,1.1E+04,1.1E+04
Slc38a1,5.6E+03,3.2E+03,8.8E+03,7.2E+03,1.8E+04,1.5E+04,1.7E+04,2.2E+04
Slc38a1,6.1E+03,5.5E+03,5.2E+03,8.5E+03,1.2E+04,1.1E+04,1.4E+04,1.7E+04
Slc38a1,2.1E+04,1.9E+04,3.0E+04,2.3E+04,4.5E+04,4.0E+04,4.9E+04,5.7E+04
Slc38a1,3.6E+04,3.3E+04,4.2E+04,4.1E+04,5.8E+04,5.2E+04,6.8E+04,6.7E+04
Slc4a10,1.2E+04,1.1E+04,1.3E+04,1.3E+04,2.6E+04,2.3E+04,3.5E+04,3.9E+04
Slc4a7,1.3E+04,1.3E+04,1.1E+04,1.1E+04,1.7E+04,1.4E+04,2.1E+04,2.1E+04
Slc4a7,3.2E+04,2.8E+04,3.8E+04,2.7E+04,5.5E+04,5.3E+04,8.7E+04,8.5E+04
Slc4a7,1.0E+03,7.3E+02,1.8E+03,1.6E+03,4.2E+03,3.6E+03,4.4E+03,4.8E+03
Slc4a7,3.9E+04,3.2E+04,3.7E+04,3.9E+04,5.9E+04,5.4E+04,8.0E+04,8.6E+04
Slc4a7,4.9E+03,4.3E+03,6.2E+03,5.5E+03,1.2E+04,8.9E+03,1.6E+04,1.9E+04
Slc4a7,1.3E+04,1.4E+04,1.7E+04,1.4E+04,3.5E+04,3.1E+04,4.3E+04,4.4E+04
Slc4a7,9.4E+03,1.1E+04,9.5E+03,1.0E+04,2.2E+04,2.0E+04,4.2E+04,4.3E+04
Slc4a7,2.1E+04,2.0E+04,2.1E+04,2.0E+04,3.1E+04,3.0E+04,4.4E+04,4.8E+04
Slc4a7,1.1E+03,1.3E+03,1.2E+03,1.1E+03,3.1E+03,2.8E+03,4.5E+03,4.6E+03
Slc5a6,4.7E+03,5.6E+03,6.0E+03,6.9E+03,1.4E+04,1.3E+04,2.2E+04,2.4E+04
Slc7a1,1.9E+04,2.0E+04,2.0E+04,1.8E+04,2.5E+04,2.5E+04,2.8E+04,3.3E+04
Slc7a6,3.6E+03,3.5E+03,4.7E+03,3.7E+03,4.2E+03,4.9E+03,7.2E+03,6.3E+03
Slc7a6,5.6E+03,5.5E+03,4.2E+03,4.5E+03,6.3E+03,6.5E+03,8.6E+03,1.0E+04
Slc7a6os,7.5E+03,8.1E+03,7.2E+03,7.6E+03,1.4E+04,1.3E+04,1.9E+04,1.9E+04
Slirp,4.7E+03,4.8E+03,4.8E+03,3.9E+03,4.4E+03,4.1E+03,9.4E+03,8.6E+03
Slirp,4.2E+03,4.7E+03,4.9E+03,4.0E+03,5.2E+03,4.4E+03,7.4E+03,6.9E+03
Slirp,1.1E+04,9.6E+03,9.4E+03,1.2E+04,1.0E+04,1.0E+04,1.8E+04,2.2E+04
Sltm,3.6E+03,2.7E+03,3.1E+03,3.0E+03,3.7E+03,4.0E+03,4.9E+03,5.5E+03
Sltm,1.3E+04,1.3E+04,1.0E+04,1.4E+04,1.5E+04,1.6E+04,2.1E+04,2.0E+04
Slu7,3.8E+03,3.5E+03,2.9E+03,3.4E+03,4.9E+03,4.8E+03,6.3E+03,6.1E+03
Smap,4.8E+03,5.1E+03,5.1E+03,5.1E+03,5.9E+03,5.8E+03,9.4E+03,7.5E+03
Smarcad1,5.3E+03,5.4E+03,6.6E+03,5.8E+03,7.9E+03,7.7E+03,9.1E+03,9.1E+03
Smg1,1.5E+04,1.3E+04,1.4E+04,1.9E+04,2.0E+04,2.1E+04,2.6E+04,2.4E+04
Smg1,2.1E+04,2.1E+04,2.1E+04,2.3E+04,2.8E+04,2.6E+04,3.2E+04,3.1E+04
Smg7,2.8E+03,3.1E+03,2.9E+03,3.0E+03,5.0E+03,4.0E+03,5.9E+03,5.5E+03
Smg9,1.3E+04,1.2E+04,1.7E+04,1.5E+04,2.3E+04,2.1E+04,2.4E+04,2.5E+04
Snap23,3.4E+03,3.9E+03,3.7E+03,4.1E+03,5.7E+03,5.1E+03,5.6E+03,6.1E+03
Snapc1,4.9E+03,5.1E+03,5.3E+03,6.2E+03,7.8E+03,6.6E+03,9.0E+03,1.0E+04
Son,1.2E+04,1.2E+04,8.5E+03,9.9E+03,9.4E+03,9.7E+03,1.4E+04,1.5E+04
Son,1.2E+04,1.5E+04,1.1E+04,1.1E+04,2.2E+04,2.0E+04,2.5E+04,2.3E+04
Sos1,5.0E+03,4.3E+03,6.5E+03,5.3E+03,7.1E+03,7.4E+03,9.1E+03,8.5E+03
Spag1,5.0E+03,4.8E+03,5.5E+03,5.9E+03,7.0E+03,6.3E+03,8.0E+03,7.4E+03
Spag9,4.3E+03,4.1E+03,5.2E+03,5.1E+03,7.2E+03,7.8E+03,7.7E+03,8.2E+03
Spag9,1.8E+04,1.8E+04,1.3E+04,1.7E+04,2.4E+04,2.3E+04,2.3E+04,2.4E+04
Spen,7.0E+03,7.3E+03,4.4E+03,5.6E+03,7.3E+03,7.6E+03,9.3E+03,8.7E+03
Spen,2.9E+04,2.5E+04,1.2E+04,2.0E+04,2.3E+04,2.5E+04,4.0E+04,3.8E+04
Sqstm1,2.8E+03,2.1E+03,3.2E+03,3.0E+03,3.9E+03,3.6E+03,5.6E+03,5.4E+03
Sqstm1,9.0E+03,9.8E+03,2.2E+04,2.0E+04,4.0E+04,3.0E+04,5.2E+04,5.4E+04
Sqstm1,1.8E+04,1.8E+04,3.2E+04,2.7E+04,4.9E+04,4.2E+04,5.6E+04,6.3E+04
Sqstm1,3.0E+04,2.9E+04,3.5E+04,3.2E+04,3.9E+04,4.1E+04,5.9E+04,7.0E+04
Sqstm1,3.8E+03,4.1E+03,5.0E+03,4.6E+03,7.4E+03,6.3E+03,7.1E+03,8.3E+03
Sqstm1,4.9E+03,5.5E+03,7.2E+03,6.6E+03,9.2E+03,8.7E+03,1.1E+04,1.3E+04
Sqstm1,2.2E+04,1.9E+04,2.0E+04,1.9E+04,3.4E+04,3.6E+04,5.4E+04,5.5E+04
Sqstm1,3.1E+04,3.2E+04,2.9E+04,3.2E+04,3.4E+04,3.5E+04,4.6E+04,4.7E+04
Srfbp1,7.6E+03,7.0E+03,5.9E+03,8.7E+03,8.7E+03,7.5E+03,1.5E+04,1.5E+04
Srpk1,1.2E+04,1.4E+04,1.2E+04,1.3E+04,1.5E+04,1.7E+04,2.4E+04,2.1E+04
Srpk3,2.5E+04,2.6E+04,2.8E+04,2.3E+04,3.5E+04,3.1E+04,4.5E+04,4.1E+04
Srrm1,6.7E+03,7.2E+03,6.5E+03,7.4E+03,9.9E+03,9.0E+03,1.5E+04,1.4E+04
Srrm1,1.1E+04,1.5E+04,1.4E+04,1.2E+04,2.0E+04,2.0E+04,2.1E+04,2.5E+04
Srrm2,8.4E+03,7.1E+03,9.1E+03,8.6E+03,1.2E+04,1.2E+04,1.3E+04,1.3E+04
Srrm2,1.5E+04,1.5E+04,1.8E+04,1.5E+04,3.2E+04,2.9E+04,3.4E+04,4.0E+04
Srrm2,5.5E+04,1.2E+05,1.6E+05,9.2E+04,2.1E+05,1.5E+05,4.1E+05,5.1E+05
Srrm2,8.0E+03,6.2E+03,3.9E+03,4.1E+03,7.0E+03,8.6E+03,1.2E+04,1.2E+04
Srrm2,3.7E+03,3.4E+03,5.9E+03,5.6E+03,6.3E+03,7.6E+03,9.9E+03,8.8E+03
Srrm2,7.7E+03,6.7E+03,7.0E+03,7.4E+03,8.1E+03,8.2E+03,1.3E+04,1.5E+04
Srrm2,1.3E+04,1.2E+04,1.1E+04,1.1E+04,1.6E+04,1.4E+04,1.8E+04,2.0E+04
Srrm2,6.4E+03,7.1E+03,4.3E+03,4.3E+03,6.4E+03,8.2E+03,1.0E+04,9.7E+03
Srrm2,1.3E+04,1.5E+04,9.9E+03,1.2E+04,2.4E+04,2.3E+04,4.0E+04,4.2E+04
Srrm2,4.4E+03,4.6E+03,5.6E+03,5.0E+03,8.2E+03,9.0E+03,8.9E+03,1.1E+04
Srrm2,4.5E+03,4.4E+03,4.7E+03,5.1E+03,7.4E+03,8.2E+03,7.8E+03,9.4E+03
Srrm2,2.1E+03,2.1E+03,3.1E+03,2.5E+03,7.5E+03,8.3E+03,1.1E+04,1.3E+04
Srrm2,4.6E+03,5.6E+03,3.0E+03,2.5E+03,6.0E+03,7.3E+03,9.6E+03,9.3E+03
Srrm2,1.0E+04,1.1E+04,9.1E+03,7.9E+03,1.6E+04,1.4E+04,1.9E+04,2.1E+04
Srrm2,4.8E+03,4.8E+03,4.4E+03,5.7E+03,6.6E+03,6.0E+03,8.0E+03,8.0E+03
Srrm2,1.7E+04,1.6E+04,1.5E+04,1.4E+04,2.0E+04,1.8E+04,2.4E+04,2.5E+04
Srrm2,1.9E+04,2.1E+04,1.9E+04,1.8E+04,2.3E+04,2.1E+04,3.0E+04,2.7E+04
Srrm2,1.1E+04,1.1E+04,7.7E+03,8.2E+03,1.3E+04,1.3E+04,2.1E+04,2.7E+04
Srrm2,4.1E+04,4.0E+04,5.6E+04,4.8E+04,1.0E+05,9.2E+04,1.0E+05,1.1E+05
Srrm2,1.1E+04,1.0E+04,8.6E+03,8.3E+03,1.4E+04,1.3E+04,2.0E+04,2.0E+04
Srrm2,1.5E+04,1.5E+04,1.7E+04,1.6E+04,2.3E+04,2.3E+04,2.5E+04,2.5E+04
Srrm2,6.7E+03,6.4E+03,5.3E+03,5.2E+03,8.1E+03,6.9E+03,8.4E+03,9.1E+03
Srrm2,4.2E+04,3.8E+04,3.9E+04,4.0E+04,5.9E+04,5.3E+04,6.7E+04,7.3E+04
Srrm2,4.9E+04,5.5E+04,5.3E+04,5.0E+04,1.5E+05,1.4E+05,2.3E+05,2.4E+05
Srrm2,6.1E+04,6.1E+04,6.7E+04,6.5E+04,9.1E+04,8.8E+04,1.0E+05,1.0E+05
Srsf2,7.6E+04,5.6E+04,4.7E+04,4.0E+04,3.9E+05,4.8E+05,5.3E+05,5.5E+05
Srsf2,7.9E+03,7.6E+03,6.4E+03,5.6E+03,1.3E+04,1.5E+04,1.3E+04,1.5E+04
Srsf9,5.8E+04,5.4E+04,5.2E+04,4.6E+04,7.9E+04,7.4E+04,1.1E+05,1.1E+05
Srsf9,4.5E+04,4.5E+04,4.0E+04,3.8E+04,6.2E+04,5.7E+04,8.0E+04,7.7E+04
Srsf9,3.9E+05,3.8E+05,3.7E+05,3.5E+05,4.6E+05,4.4E+05,5.6E+05,5.5E+05
Ssr1,4.9E+04,4.3E+04,4.0E+04,5.3E+04,5.6E+04,4.7E+04,8.3E+04,8.0E+04
Ssrp1,9.6E+03,9.2E+03,6.9E+03,8.1E+03,1.6E+04,1.5E+04,1.9E+04,1.9E+04
Ssrp1,1.0E+04,1.1E+04,7.9E+03,8.4E+03,1.4E+04,1.4E+04,1.7E+04,1.8E+04
Ssrp1,3.1E+04,3.1E+04,1.5E+04,2.1E+04,3.6E+04,4.4E+04,4.5E+04,4.5E+04
Supv3l1,4.0E+03,4.4E+03,4.4E+03,4.1E+03,5.8E+03,6.7E+03,7.5E+03,8.3E+03
Swi5,2.0E+04,2.0E+04,1.7E+04,1.7E+04,2.0E+04,2.2E+04,2.8E+04,2.5E+04
Tacc2,2.1E+04,2.2E+04,1.7E+04,2.2E+04,2.8E+04,2.6E+04,5.0E+04,5.3E+04
Taf1d,2.3E+04,2.2E+04,2.7E+04,2.7E+04,4.5E+04,4.1E+04,4.6E+04,5.0E+04
Taok1,3.5E+03,3.6E+03,3.4E+03,4.4E+03,4.9E+03,4.8E+03,5.3E+03,5.8E+03
Tardbp,4.6E+04,4.8E+04,4.9E+04,4.2E+04,6.3E+04,5.6E+04,1.1E+05,1.2E+05
Tbx21,2.9E+04,2.7E+04,2.2E+04,2.3E+04,3.1E+04,3.3E+04,4.0E+04,3.8E+04
Tbx21,1.2E+04,1.2E+04,1.2E+04,1.4E+04,3.0E+04,2.6E+04,4.5E+04,5.3E+04
Tbx21,3.3E+04,3.2E+04,2.6E+04,2.8E+04,4.0E+04,4.2E+04,5.1E+04,4.7E+04
Tcof1,6.7E+03,6.5E+03,6.7E+03,7.5E+03,8.3E+03,9.8E+03,1.1E+04,1.2E+04
Tcof1,2.3E+04,2.2E+04,2.2E+04,2.3E+04,3.7E+04,3.0E+04,3.9E+04,3.7E+04
Tcof1,1.5E+04,1.6E+04,1.1E+04,1.1E+04,2.9E+04,2.6E+04,3.2E+04,3.3E+04
Tet2,1.1E+04,1.2E+04,1.2E+04,1.2E+04,1.8E+04,1.7E+04,1.8E+04,1.9E+04
Tfap4,6.1E+03,6.4E+03,6.0E+03,5.0E+03,6.0E+03,6.3E+03,1.0E+04,1.1E+04
Tfap4,2.1E+04,2.1E+04,1.8E+04,1.9E+04,1.8E+04,1.8E+04,2.7E+04,2.7E+04
Tfap4,7.2E+03,7.2E+03,6.5E+03,6.5E+03,6.8E+03,6.6E+03,1.2E+04,1.2E+04
Tfdp1,1.7E+04,1.5E+04,1.4E+04,1.6E+04,2.5E+04,2.3E+04,4.0E+04,4.0E+04
Thop1,1.6E+03,1.6E+03,2.7E+03,1.6E+03,4.1E+03,3.7E+03,6.0E+03,5.8E+03
Thrap3,6.5E+03,6.2E+03,5.8E+03,6.2E+03,8.2E+03,1.0E+04,9.6E+03,1.0E+04
Thrap3,1.4E+04,1.4E+04,1.3E+04,1.4E+04,2.6E+04,2.5E+04,3.1E+04,3.0E+04
Timeless,7.8E+03,7.4E+03,6.8E+03,6.3E+03,6.4E+03,6.8E+03,1.0E+04,1.0E+04
Tmem131,7.5E+03,5.8E+03,7.1E+03,7.6E+03,1.2E+04,1.2E+04,1.4E+04,1.5E+04
TMEM229B,4.1E+03,3.7E+03,4.4E+03,4.4E+03,6.4E+03,6.9E+03,8.6E+03,7.2E+03
Tmem51,9.5E+03,6.8E+03,6.0E+03,7.6E+03,8.9E+03,8.3E+03,1.9E+04,2.0E+04
